GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gesusuarios,com.microusuarios.gesusuarios.model,Usuario,0,45,0,0,0,19,0,13,0,13
gesusuarios,com.microusuarios.gesusuarios.service,UsuarioService,0,23,0,0,0,6,0,5,0,5
gesusuarios,com.microusuarios.gesusuarios,GesusuariosApplication,0,8,0,0,0,3,0,2,0,2
gesusuarios,com.microusuarios.gesusuarios.security,SecurityConfig,0,29,0,0,0,5,0,5,0,5
gesusuarios,com.microusuarios.gesusuarios.security,CustomAuthenticationEntryPoint,8,3,0,0,3,1,1,1,1,1
gesusuarios,com.microusuarios.gesusuarios.exception,GlobalExceptionHandler,29,10,0,0,7,2,2,2,2,2
gesusuarios,com.microusuarios.gesusuarios.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
gesusuarios,com.microusuarios.gesusuarios.controller,UsuarioController,12,137,0,0,0,32,2,9,2,9
